kepid,kepoi_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_duration,koi_depth,koi_prad,koi_srad
10028140,K01591.01,CANDIDATE,CANDIDATE,1.0,19.65639342,2.4374780151017363,819.1932226836451,2.63411683186985,0.84379345
5289854,K01593.01,CONFIRMED,CANDIDATE,0.964,9.69501146,2.676863640836634,513.6964930653187,2.3573379816418063,0.95359254
5289854,K01593.02,CONFIRMED,CANDIDATE,0.999,15.3825394,3.77069827953154,544.2986519589299,2.4265384790819327,0.95359254
10027323,K01596.01,CONFIRMED,CANDIDATE,1.0,5.92365747,2.580730510134095,406.17603394954574,1.3923971618043733,0.6334324
10027323,K01596.02,CONFIRMED,CANDIDATE,0.745,105.3582299,3.5300476714407965,1198.048289490161,2.3913499959901765,0.6334324
10004738,K01598.01,CONFIRMED,CANDIDATE,0.985,56.4758069,5.330665831528771,1085.5935066238499,3.112376097149924,0.8660695
10004738,K01598.02,CONFIRMED,CANDIDATE,1.0,92.8747294,6.531213375029284,651.7429231677196,2.4115519105993197,0.8660695
10004738,K01598.03,CONFIRMED,CANDIDATE,1.0,13.93068791,2.1652377693268843,185.3956405984958,1.286199130851505,0.8660695
5474613,K01599.01,CANDIDATE,CANDIDATE,0.901,20.4074846,0.0,368.44388752121927,2.658117692322549,1.2696465
5474613,K01599.02,CANDIDATE,CANDIDATE,0.991,13.6164547,5.175,376.1,2.6855929911541434,1.2696465
5177104,K01603.01,CONFIRMED,CANDIDATE,1.0,3.02168007,2.7846275518907038,172.08594656159536,1.6289810166858607,1.138512
9886661,K01606.01,CONFIRMED,CANDIDATE,1.0,5.082748362,1.760428793395,277.0501575485307,1.6028255012028256,0.8828793
10055126,K01608.01,CONFIRMED,CANDIDATE,1.0,9.17617167,4.23296924594923,206.53163252670748,1.7777656507359378,1.1341631
10055126,K01608.02,CONFIRMED,CANDIDATE,0.998,19.7383992,4.743946797512434,167.29353952715798,1.6000030357468975,1.1341631
