kepid,mass,radius,teff,bp_rp,rrmscdpp04p5
10028665,0.804,0.808239,5333,1.0147934,182.122
10028795,0.861,0.8302899,4964.08,1.1241951,152.471
10028836,1.253,1.5017936,5625.425,0.8803129,224.2
10028888,0.961,1.1984516,5087.737,1.0246229,89.305
10028915,1.03,0.8883519,5400,0.95146656,157.106
10034405,0.806,1.3240894,5224.425,0.99814415,214.046
10057651,0.946,0.78283733,5326,1.0101995,164.133
10057661,0.936,1.1045891,5876.6665,0.78772926,23.497
10057795,0.893,0.8777447,5151.7974,1.0332136,156.605
10057846,0.84,1.1588264,5413.3335,0.95552444,85.917
10057893,0.805,1.022614,5411,0.9423065,92.041
10065157,1.171,1.1724455,6389.34,0.66943645,45.733
10065158,0.667,0.6609329,4440.395,1.4506464,183.721
10065171,0.991,0.90235996,5371,0.9736748,114.182
10065198,0.918,0.8496676,5292.75,1.0070362,68.551
10065299,0.807,0.9808323,5141,1.0463343,122.118
10069078,0.904,0.8590382,5231.57,1.0183773,79.357
10069131,1.191,1.2873738,6277,0.72138214,101.262
10069234,1.067,0.8242538,5424,0.9169016,186.604
10069342,0.967,1.0969639,5362,0.95543003,164.254
10069378,0.625,0.7507822,4475.703,1.4295063,362.769
10078400,1.022,0.888384,5454.56,0.90641594,131.115
10078861,0.826,0.75910664,4968,1.1243458,91.471
10078869,0.833,1.0408126,5343,1.0033312,201.447
10078984,0.981,1.3752536,5795.6665,0.84573555,74.445
10078985,0.811,0.86036927,5330.3335,1.0104771,98.434
10079002,0.852,0.900602,5082.8926,1.0676651,75.303
10082667,1.012,1.054107,5476,0.8969555,62.783
10082691,0.994,1.0274861,5113.47,1.025917,186.808
10082730,1.188,1.3084092,5520.07,0.89635944,228.226
10082769,1.101,1.0301745,5475.925,0.92698765,191.516
10082785,1.205,1.3027545,5672.776,0.7574625,104.923
10082904,1.201,1.4487318,5792.915,0.8186264,23.388
10088773,1.335,1.3771001,6341,0.7020769,141.119
10088775,1.198,1.0878608,5785.5,0.84115505,147.476
10088843,1.133,1.0508957,5442,0.9120321,150.194
10088877,1.251,1.0246658,5828,0.8099003,41.552
10088893,1.161,1.7450845,6252,0.73734283,80.681
10092376,0.991,1.1480972,5422,0.9240284,114.051
10092508,0.809,0.9084028,4996,1.1291418,146.934
10098203,0.718,0.8869818,5166.61,0.9925127,69.12
10098323,0.693,0.5986519,4745.605,1.4394493,139.659
10098540,0.624,0.55402124,4574.5674,1.5933638,286.402
10098577,0.691,1.0661145,4959,1.1359272,172.857
10098625,0.678,1.0441113,4978.6,1.1017618,230.673
10122780,1.042,0.9502936,5056.2,1.0649061,48.718
10122826,0.912,1.1105669,5125.8335,1.0292187,172.503
10122878,0.731,0.61772263,4937.8267,1.3188038,249.017
10122895,1.072,1.0799685,5460.43,0.9152012,93.899
10122937,0.974,1.0484346,5818,0.7802305,53.903
10122953,1.035,1.2916566,5361,0.923399,150.432
10122955,1.051,1.2000557,5495.5405,0.9000702,147.784
10122999,1.107,1.5025954,5800,0.83108234,149.876
10123009,0.738,0.92269564,5007.5464,1.1128082,116.23
10123025,1.005,1.0483836,5842.915,0.88655376,208.295
10001391,1.069,1.1182936,6149.75,0.7473955,62.325
10001511,0.989,1.197538,5335,0.9864073,183.111
10001648,0.938,0.85252124,5404.5,0.9531584,105.904
10001658,1.111,1.3621532,5748,0.85588455,132.522
10001688,0.728,0.85293305,4853.6265,1.3539267,243.576
10001717,0.986,1.0246964,5371,0.94997025,154.255
10005482,0.912,1.2787127,5115.25,1.0357103,173.681
10005605,0.893,0.80907655,4977.565,1.0832682,146.487
10005609,0.593,0.6482512,4538.9067,1.4332333,258.219
10005646,0.918,1.1050766,5786,0.8384981,48.31
10005656,0.808,0.68357605,4918.9224,1.3324461,146.495
10005685,1.081,1.0024625,5412,0.9561491,211.645
10005686,1.292,1.2507339,6484.25,0.67426395,110.098
10014667,0.993,0.95785856,5243.75,1.0194225,165.8
10014689,0.854,0.9403887,5484,0.906662,57.226
10014702,1.038,1.4247708,5435.925,0.9108658,137.966
10014707,1.088,1.3269924,5762.5,0.8559656,142.764
10014765,0.92,0.97984076,5002,1.0866632,178.708
10014787,1.06,1.1758815,5683.3276,0.85216045,71.686
10014875,1.008,0.980976,5424,0.9250202,203.95
10018994,1.048,1.1527139,5394,0.9534664,48.316
10019114,1.152,1.1124878,5790.75,0.8193445,128.719
10019139,1.067,1.3619779,5500,0.86336994,157.723
10019205,0.991,1.2251126,5463,0.91006184,187.522
10019233,0.928,0.95325685,5575.6665,0.8816633,69.976
10024906,0.992,0.9672435,5411.5,0.95502853,127.126
